Title,"Actor Name",Role,"Released Year","Age Certification",Runtime,Genre,"Production Countries","Seasons Broadcasted","IMDB Score","Number of Votes"
"Breaking Bad","Anna Gunn",ACTOR,2008,TV-MA,48,drama,US,5,9.5,1727694
"Breaking Bad","Betsy Brandt",ACTOR,2008,TV-MA,48,drama,US,5,9.5,1727694
"Avatar: The Last Airbender","Jessie Flower",ACTOR,2005,TV-Y7,24,scifi,US,3,9.3,297336
"Avatar: The Last Airbender","Zach Tyler",ACTOR,2005,TV-Y7,24,scifi,US,3,9.3,297336
"Avatar: The Last Airbender","Cricket Leigh",ACTOR,2005,TV-Y7,24,scifi,US,3,9.3,297336
"Who Rules The World","Zhang Feng Yi",ACTOR,2022,TV-PG,44,drama,CN,1,9.2,81
"Reply 1988","Kim Seol",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"My Mister","Lee Ji-ah",ACTOR,2018,TV-14,79,drama,KR,1,9.2,5481
"Reply 1988","Lee Hye-ri",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"Reply 1988","Lee Se-young",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"Reply 1988","Ryu Jun-yeol",ACTOR,2015,TV-14,95,comedy,KR,1,9.2,6557
"Who Rules The World","He Kailang",ACTOR,2022,TV-PG,44,drama,CN,1,9.2,81
"My Mister","Son Sook",ACTOR,2018,TV-14,79,drama,KR,1,9.2,5481
"The Last Dance","Michael Jordan",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"The Last Dance","Phil Jackson",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"The Last Dance","Steve Kerr",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"The Last Dance","Scottie Pippen",ACTOR,2020,TV-MA,50,documentation,US,1,9.1,108321
"Raja, Rasoi Aur Anya Kahaniyaan","Manwendra Tripathy",ACTOR,2014,NULL,29,history,IN,3,9,327
"Raja, Rasoi Aur Anya Kahaniyaan","Dr Pushpesh Pant",ACTOR,2014,NULL,29,history,IN,3,9,327
"Leah Remini: Scientology and the Aftermath","Mike Rinder",ACTOR,2016,TV-14,46,documentation,US,3,9,5761
Okupas,"Ariel Staltari",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Diego Alonso",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Franco Tirri",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
"Hunter x Hunter","Chisa Yokoyama",ACTOR,2011,TV-14,23,drama,JP,3,9,87857
Okupas,"Jorge Sesán",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Dante Mastropierro",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
Okupas,"Augusto Brítez",ACTOR,2000,TV-MA,40,crime,AR,1,9,2326
"Still Game","Sanjeev Kohli",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"Still Game","Mark Cox",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
Seinfeld,"Julia Louis-Dreyfus",ACTOR,1989,TV-PG,24,comedy,US,9,8.9,302700
"Still Game","Greg Hemphill",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
Heartstopper,"Yasmin Finney",ACTOR,2022,TV-14,28,drama,GB,1,8.9,28978
Heartstopper,"William Gao",ACTOR,2022,TV-14,28,drama,GB,1,8.9,28978
Heartstopper,"Joe Locke",ACTOR,2022,TV-14,28,drama,GB,1,8.9,28978
"When They See Us","Kylie Bunbury",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
Seinfeld,"Michael Richards",ACTOR,1989,TV-PG,24,comedy,US,9,8.9,302700
"Still Game","Jane McCarry",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"Still Game","Paul Riley",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"When They See Us","Caleel Harris",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
"Still Game","Ford Kiernan",ACTOR,2002,TV-14,29,comedy,GB,9,8.9,7539
"Cowboy Bebop","Aoi Tada",ACTOR,1998,TV-14,25,western,JP,1,8.9,112887
"When They See Us","Asante Blackk",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
"When They See Us","Ethan Herisse",ACTOR,2019,TV-MA,74,drama,US,1,8.9,114127
"The Untamed","Lu Enjie",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"Better Call Saul","Michael Mando",ACTOR,2015,TV-MA,49,comedy,US,6,8.8,404920
"The Untamed","Lu Jianmin",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Xiao Zhan",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Meng Ziyi",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
Navillera,"Kim Kwon",ACTOR,2021,NULL,64,drama,KR,1,8.8,2024
Narcos,"Matias Varela",ACTOR,2015,TV-MA,52,drama,US,3,8.8,404486
"Hospital Playlist","Ahn Eun-jin",ACTOR,2020,TV-14,90,comedy,KR,2,8.8,4836
"The Untamed","Liu Haikuan",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Song Jiyang",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Wang Zhuocheng",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Zhu Zanjin",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Yu Bin",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Wang Haoxuan",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Zheng Fanxing",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Ji Li",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Cao Yuchen",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Bowen Li",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Qi Peixin",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Wang Yizhou",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","He Peng",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Cao Junxiang",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Liu Yinjun",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Huang Ziteng",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
Narcos,"Francisco Denis",ACTOR,2015,TV-MA,52,drama,US,3,8.8,404486
"The Untamed","Chen Zhuoxuan",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
Navillera,"Lee So-yeong",ACTOR,2021,NULL,64,drama,KR,1,8.8,2024
Navillera,"Jo Bok-rae",ACTOR,2021,NULL,64,drama,KR,1,8.8,2024
"The Untamed","Zhang Jingtong",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Guo Cheng",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"Hospital Playlist","Moon Tae-Yoo",ACTOR,2020,TV-14,90,comedy,KR,2,8.8,4836
"The Untamed","Wang Yifei",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Feng Mingjing",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
"The Untamed","Wang Yibo",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
Narcos,"Pêpê Rapazote",ACTOR,2015,TV-MA,52,drama,US,3,8.8,404486
"Hospital Playlist","Ha Yoon-kyung",ACTOR,2020,TV-14,90,comedy,KR,2,8.8,4836
Narcos,"Matt Whelan",ACTOR,2015,TV-MA,52,drama,US,3,8.8,404486
Narcos,"Michael Stahl-David",ACTOR,2015,TV-MA,52,drama,US,3,8.8,404486
Navillera,"Yoon Ji-hye",ACTOR,2021,NULL,64,drama,KR,1,8.8,2024
"The Untamed","Xiu Qing",ACTOR,2019,TV-14,44,action,CN,1,8.8,5963
Narcos,"Andrea Londo",ACTOR,2015,TV-MA,52,drama,US,3,8.8,404486
"Vientos de agua","Francesca Trentacarlini",ACTOR,2006,TV-MA,72,drama,"ES, AR",1,8.7,1034
"Twenty Five Twenty One","Moon Woo-Bin",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"Twenty Five Twenty One","Choi Min-yeong",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"Mr. Sunshine","Seong Yu-bin",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Mr. Sunshine","Choi Jong-won",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Anne with an E","Corrine Koslo",ACTOR,2017,TV-G,46,drama,CA,3,8.7,51001
"House of Cards","Campbell Scott",ACTOR,2013,TV-MA,52,drama,US,6,8.7,494092
"Friday Night Lights","Jurnee Smollett",ACTOR,2006,TV-14,43,drama,US,5,8.7,64449
"Friday Night Lights","Aimee Teegarden",ACTOR,2006,TV-14,43,drama,US,5,8.7,64449
"Mr. Sunshine","Kim Na-woon",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Tear Along the Dotted Line","Valerio Mastandrea",ACTOR,2021,TV-14,19,drama,IT,1,8.7,7595
"Friday Night Lights","Michael B. Jordan",ACTOR,2006,TV-14,43,drama,US,5,8.7,64449
"Mr. Sunshine","Jeon Jin-seo",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Mr. Sunshine","Shin Jung-geun",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Mr. Sunshine","Jang Dong-yoon",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Downton Abbey","Phyllis Logan",ACTOR,2010,TV-14,58,drama,GB,6,8.7,197744
"Friday Night Lights","Dora Madison",ACTOR,2006,TV-14,43,drama,US,5,8.7,64449
"Stranger Things","Myles Truitt",ACTOR,2016,TV-14,52,scifi,US,5,8.7,989090
"Arrested Development","Jessica Walter",ACTOR,2003,TV-MA,28,comedy,US,5,8.7,297552
Dark,"Karoline Eichhorn",ACTOR,2017,TV-MA,56,scifi,DE,3,8.7,354443
"Anne with an E","Amybeth McNulty",ACTOR,2017,TV-G,46,drama,CA,3,8.7,51001
"Anne with an E","Aymeric Jett Montaz",ACTOR,2017,TV-G,46,drama,CA,3,8.7,51001
"Vientos de agua","Claudia Fontán",ACTOR,2006,TV-MA,72,drama,"ES, AR",1,8.7,1034
"Twenty Five Twenty One",Bona,ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"The Crown","Marion Bailey",ACTOR,2016,TV-MA,56,drama,"US, GB",5,8.7,190878
"Anne with an E","Dalmar Abuzeid",ACTOR,2017,TV-G,46,drama,CA,3,8.7,51001
"Downton Abbey","Joanne Froggatt",ACTOR,2010,TV-14,58,drama,GB,6,8.7,197744
"Downton Abbey","Sophie McShera",ACTOR,2010,TV-14,58,drama,GB,6,8.7,197744
"The Crown","Josh O'Connor",ACTOR,2016,TV-MA,56,drama,"US, GB",5,8.7,190878
"Twenty Five Twenty One","Joo Bo-young",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"Mr. Sunshine","Bae Jung-nam",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Arrested Development","Portia de Rossi",ACTOR,2003,TV-MA,28,comedy,US,5,8.7,297552
"Mr. Sunshine","Lee Jung-hyun",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Mr. Sunshine","Seo Yu-jeong",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Tear Along the Dotted Line",Zerocalcare,ACTOR,2021,TV-14,19,drama,IT,1,8.7,7595
"Twenty Five Twenty One","Ok Ye-rin",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"The Crown","Erin Doherty",ACTOR,2016,TV-MA,56,drama,"US, GB",5,8.7,190878
"Mr. Sunshine","Nam Chang-hee",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"House of Cards","Diane Lane",ACTOR,2013,TV-MA,52,drama,US,6,8.7,494092
"Twenty Five Twenty One","Choi Tae-joon",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"The Crown","Emma Corrin",ACTOR,2016,TV-MA,56,drama,"US, GB",5,8.7,190878
"Twenty Five Twenty One","Bang Eun-jung",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"House of Cards","Derek Cecil",ACTOR,2013,TV-MA,52,drama,US,6,8.7,494092
"Twenty Five Twenty One","Park Yoon-hee",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"Mr. Sunshine","Kim Min-jung",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"Vientos de agua","Giulia Michelini",ACTOR,2006,TV-MA,72,drama,"ES, AR",1,8.7,1034
"Lenox Hill","Amanda Little Richardson",ACTOR,2020,TV-MA,50,documentation,US,1,8.7,2276
"Lenox Hill","Mirtha Macri",ACTOR,2020,TV-MA,50,documentation,US,1,8.7,2276
"Lenox Hill","David Langer",ACTOR,2020,TV-MA,50,documentation,US,1,8.7,2276
"Lenox Hill","John Boockvar",ACTOR,2020,TV-MA,50,documentation,US,1,8.7,2276
"Twenty Five Twenty One","Kim Nam-yee",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"Stranger Things","Charlie Heaton",ACTOR,2016,TV-14,52,scifi,US,5,8.7,989090
"Twenty Five Twenty One","Kim So-hyun",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"Twenty Five Twenty One","Lee Joo-myung",ACTOR,2022,TV-14,76,drama,KR,1,8.7,4081
"Mr. Sunshine","Lee Ho-jae",ACTOR,2018,TV-MA,76,drama,KR,1,8.7,6855
"House of Cards","Cody Fern",ACTOR,2013,TV-MA,52,drama,US,6,8.7,494092
"SKY Castle","Lee Hyun-jin",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
"Incomplete Life","Yoon Jong-hoon",ACTOR,2014,TV-14,73,drama,KR,1,8.6,1883
Wentworth,"Pamela Rabe",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
"SKY Castle","Kim Hye-yoon",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
"SKY Castle","Song Geon-hee",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
"SKY Castle","Lee Yu-jin",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
"SKY Castle","Song Min-hyung",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
"SKY Castle","Cho Mi-nyeo",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
"Move to Heaven","Jung Ae-yeun",ACTOR,2021,TV-MA,52,drama,KR,1,8.6,5307
"The Haunting of Hill House","Mckenna Grace",ACTOR,2018,TV-MA,58,drama,US,1,8.6,226817
Shtisel,"Doval'e Glickman",ACTOR,2013,TV-14,48,drama,IL,3,8.6,6958
"Formula 1: Drive to Survive","Carlos Sainz Jr.",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
Wentworth,"Jacqueline Brennan",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
"SKY Castle","Jung Joon-ho",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
"Formula 1: Drive to Survive","Lance Stroll",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Esteban Ocon",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Pierre Gasly",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Charles Leclerc",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
Wentworth,"Nicole da Silva",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
Wentworth,"David de Lautour",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
Wentworth,"Robbie Magasiva",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
Wentworth,"Katrina Milosevic",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
Wentworth,"Kate Jenkinson",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
"Formula 1: Drive to Survive","Lando Norris",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","George Russell",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Nicholas Latifi",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Cobra Kai","William Zabka",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
"Cobra Kai","Martin Kove",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
"Cobra Kai","Mary Mouser",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
"Age of Rebellion","Jason Tsou",ACTOR,2018,TV-MA,83,drama,TW,1,8.6,49
Shameless,"Paris Newton",ACTOR,2011,TV-MA,54,drama,US,11,8.6,230243
"Incomplete Life","Ryu Tae-ho",ACTOR,2014,TV-14,73,drama,KR,1,8.6,1883
"Midnight Diner","Shohei Uno",ACTOR,2009,TV-MA,27,drama,JP,5,8.6,2110
"SKY Castle","Kwon Hwa-woon",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
Wentworth,"Kate Atkinson",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
"It's Okay to Not Be Okay","Jang Gyu-ri",ACTOR,2020,TV-MA,76,drama,KR,1,8.6,21104
"Incomplete Life","Choi Ha-ho",ACTOR,2014,TV-14,73,drama,KR,1,8.6,1883
Shameless,"Noel Fisher",ACTOR,2011,TV-MA,54,drama,US,11,8.6,230243
"It's Okay to Not Be Okay","Chi Hae-won",ACTOR,2020,TV-MA,76,drama,KR,1,8.6,21104
"Formula 1: Drive to Survive","Nikita Mazepin",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Yuki Tsunoda",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
Shtisel,"Neta Riskin",ACTOR,2013,TV-14,48,drama,IL,3,8.6,6958
"Midnight Diner","Toshiki Ayata",ACTOR,2009,TV-MA,27,drama,JP,5,8.6,2110
"Cobra Kai","Xolo Mariduena",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
"SKY Castle","Lee Tae-ran",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
Shameless,"William H. Macy",ACTOR,2011,TV-MA,54,drama,US,11,8.6,230243
"Cobra Kai","Ralph Macchio",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
"Age of Rebellion","Tammy Chen",ACTOR,2018,TV-MA,83,drama,TW,1,8.6,49
"Midnight Diner","Mansaku Fuwa",ACTOR,2009,TV-MA,27,drama,JP,5,8.6,2110
Shameless,"Ethan Cutkosky",ACTOR,2011,TV-MA,54,drama,US,11,8.6,230243
"Age of Rebellion","Lee Chien-Na",ACTOR,2018,TV-MA,83,drama,TW,1,8.6,49
Shameless,"Kate Miner",ACTOR,2011,TV-MA,54,drama,US,11,8.6,230243
"Cobra Kai","Thomas Ian Griffith",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
Shameless,"Elise Eberle",ACTOR,2011,TV-MA,54,drama,US,11,8.6,230243
Wentworth,"Leah Purcell",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
"Formula 1: Drive to Survive","Sergio Pérez",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"SKY Castle","Yum Jung-ah",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
Wentworth,"Tammy Macintosh",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
"Midnight Diner","Yutaka Matsushige",ACTOR,2009,TV-MA,27,drama,JP,5,8.6,2110
"The Great British Baking Show","Noel Fielding",ACTOR,2010,TV-PG,57,reality,GB,12,8.6,9564
Mindhunter,"Jonathan Groff",ACTOR,2017,TV-MA,53,crime,US,2,8.6,261429
"It's Okay to Not Be Okay","Kim Soo-hyun",ACTOR,2020,TV-MA,76,drama,KR,1,8.6,21104
"Cobra Kai","Gianni Decenzo",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
"Cobra Kai","Vanessa Rubio",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
"Formula 1: Drive to Survive","Antonio Giovinazzi",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"The Great British Baking Show","Prue Leith",ACTOR,2010,TV-PG,57,reality,GB,12,8.6,9564
"Cobra Kai","Courtney Henggeler",ACTOR,2018,TV-14,31,action,US,5,8.6,163858
Shameless,"Emma Kenney",ACTOR,2011,TV-MA,54,drama,US,11,8.6,230243
Mindhunter,"Stacey Roca",ACTOR,2017,TV-MA,53,crime,US,2,8.6,261429
"Formula 1: Drive to Survive","Lewis Hamilton",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"The Haunting of Hill House","Julian Hilliard",ACTOR,2018,TV-MA,58,drama,US,1,8.6,226817
"Formula 1: Drive to Survive","Kimi Räikkönen",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Max Verstappen",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Daniel Ricciardo",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"Formula 1: Drive to Survive","Valtteri Bottas",ACTOR,2019,TV-MA,38,documentation,GB,6,8.6,36661
"SKY Castle","Kang Chan-hee",ACTOR,2018,TV-MA,68,drama,KR,1,8.6,2835
Wentworth,"Rarriwuy Hick",ACTOR,2013,TV-MA,46,drama,AU,9,8.6,21747
"Norm Macdonald Has a Show","Adam Eget",ACTOR,2018,NULL,35,comedy,US,1,8.6,3473
"Incomplete Life","Oh Min-seok",ACTOR,2014,TV-14,73,drama,KR,1,8.6,1883
"Age of Rebellion","Jeanine Yang",ACTOR,2018,TV-MA,83,drama,TW,1,8.6,49
"Incomplete Life","Kim Ye-joon",ACTOR,2014,TV-14,73,drama,KR,1,8.6,1883
"The Haunting of Hill House","Paxton Singleton",ACTOR,2018,TV-MA,58,drama,US,1,8.6,226817
"The Last Kingdom","Alexander Dreymon",ACTOR,2015,TV-MA,55,action,GB,5,8.5,126473
"The Last Kingdom","Emily Cox",ACTOR,2015,TV-MA,55,action,GB,5,8.5,126473
"Call the Midwife","Helen George",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
"Call the Midwife","Laura Main",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
Ozark,"Skylar Gaertner",ACTOR,2017,TV-MA,60,crime,US,4,8.5,278223
"El Reemplazante","Rocío Monasterio",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
"El Reemplazante","María José Illanes",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
"Call the Midwife","Leonie Elliott",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
Borgen,"Birgitte Hjort Sørensen",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Borgen,"Angunnguaq Larsen",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Borgen,"Mikael Birkkjær",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Borgen,"Benedikte Hansen",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Borgen,"Emil Poulsen",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Borgen,"Freja Riemann",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Borgen,"Thomas Levin",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
"Ashes of Love","Zhou Tingwei",ACTOR,2018,TV-14,43,drama,CN,1,8.5,1875
"Ashes of Love","Wang Yifei",ACTOR,2018,TV-14,43,drama,CN,1,8.5,1875
"After Life","Joe Wilkinson",ACTOR,2019,TV-MA,28,comedy,GB,3,8.5,124972
"Scissor Seven","He Xiaofeng",ACTOR,2018,TV-PG,15,action,CN,3,8.5,297
"Ashes of Love","Wang Renjun",ACTOR,2018,TV-14,43,drama,CN,1,8.5,1875
"Delhi Crime","Mridul Sharma",ACTOR,2019,TV-MA,27,drama,IN,1,8.5,18732
"Delhi Crime","Swati Bhatia",ACTOR,2019,TV-MA,27,drama,IN,1,8.5,18732
"After Life","Tommy Finnegan",ACTOR,2019,TV-MA,28,comedy,GB,3,8.5,124972
"Time: The Kalief Browder Story","Kalief Browder",ACTOR,2017,TV-MA,22,documentation,US,1,8.5,2641
Borgen,"Lisbeth Wulff",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
"Some Assembly Required","Kolton Stewart",ACTOR,2014,TV-G,25,comedy,CA,4,8.5,22
Stranger,"Kim Dong-hwi",ACTOR,2017,TV-MA,64,drama,KR,2,8.5,7645
"Ashes of Love","Zhang Junran",ACTOR,2018,TV-14,43,drama,CN,1,8.5,1875
"El Reemplazante","Karla Melo",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
Stranger,"Park Seong-geun",ACTOR,2017,TV-MA,64,drama,KR,2,8.5,7645
"Delhi Crime","Sidharth Bhardwaj",ACTOR,2019,TV-MA,27,drama,IN,1,8.5,18732
"Scissor Seven","Zhao Chengchen",ACTOR,2018,TV-PG,15,action,CN,3,8.5,297
"El Reemplazante","Sylvia Hernández",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
"The IT Crowd","Jessica St. Clair",ACTOR,2006,TV-14,25,comedy,GB,5,8.5,147409
"The IT Crowd","Richard Ayoade",ACTOR,2006,TV-14,25,comedy,GB,5,8.5,147409
"Daniel Sloss: Live Shows","Daniel Sloss",ACTOR,2018,TV-MA,60,comedy,US,1,8.5,3387
Borgen,"Søren Malling",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Borgen,"Sidse Babett Knudsen",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
Stranger,"Kim Young-jae",ACTOR,2017,TV-MA,64,drama,KR,2,8.5,7645
"Hometown Cha-Cha-Cha","Kang Hyung-suk",ACTOR,2021,TV-14,78,comedy,KR,1,8.5,9987
"After Life","Kath Hughes",ACTOR,2019,TV-MA,28,comedy,GB,3,8.5,124972
"Delhi Crime","Yashaswini Dayama",ACTOR,2019,TV-MA,27,drama,IN,1,8.5,18732
"Call the Midwife","Stephen McGann",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
Borgen,"Ole Thestrup",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
"Call the Midwife","Jenny Agutter",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
"El Reemplazante","Rafael de la Reguera",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
"Call the Midwife","Judy Parfitt",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
Gameboys,"Kokoy de Santos",ACTOR,2020,TV-14,22,drama,PH,2,8.5,1066
ERASED,"Ayaka Nanase",ACTOR,2016,TV-14,22,drama,JP,1,8.5,42699
ERASED,"Yukitoshi Kikuchi",ACTOR,2016,TV-14,22,drama,JP,1,8.5,42699
Supernatural,"Jensen Ackles",ACTOR,2005,TV-14,45,scifi,US,15,8.5,428639
Borgen,"Søren Spanning",ACTOR,2010,TV-MA,58,drama,DK,4,8.5,23523
"El Reemplazante","Gastón Salgado",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
"El Reemplazante","Sebastián Ayala",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
"El Reemplazante","Valentina Muhr",ACTOR,2012,TV-MA,45,drama,CL,2,8.5,755
Community,"Danny Pudi",ACTOR,2009,TV-PG,23,comedy,US,6,8.5,252564
"Call the Midwife","Annabelle Apsion",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
"Call the Midwife","Cliff Parisi",ACTOR,2012,TV-PG,56,drama,GB,11,8.5,25562
